Filename,Content,Confidence,Status,Issues
001-Chimbipada.pdf,"मारूती मंदिरा जवळ, मारूती मंदिराचे जबळ, भोमरे वाडा, बस स्टॉप जवळ, भुईसेन, शासकीय आश्रम शाळे जवळ, बालखडी, जि प शाळे जवळ, पाटीळ पाडा, जाधव वाडा, भुईसेन कोल्हा पाडा, भुईसेन मागचिपाडा, भुइसेन मार्गाच पाडा",90.8,ok,
002-Chimbipada.pdf,"मारूती मंदिरा जवळ, बालखडी, eat APIS पाडा, चिंबीपाडा गाव, चिंबीपाडा गांब, खडकी खु, आमराई, कुंभार वाडा, पिंपळशेत, खडकी बु.",85.2,ok,
003-Lakhivali.pdf,"माजिवबाडा जि प शाळे जवळ, नांदा, तेळी बडे पाडा, वाण्याचा पाडा, धामने गाव, लाखीबली जि प शाळे जवळ, गडगपाडा, जाभुंळ पाडा, नांदा स्टॉप, लाखीबली गाव, जोडखांब, पांजरापूर, गोडाचा पाडा",90.2,ok,
004-Kuhe.pdf,"सागवीपाडा जि प शाळे चे बाजूला, मढवी पाडा, फणस पाडा, सागवी वाडा जि प शाळे चे बाजूला, टेपाचा पाडा गावदेवी मंदिर बाजूला, सागवी पाडा जि प शाळे चे बाजूला, भिळपोंडा बस्ती शाळे चे बाजूला, गराळपाडा, गोंधबळी, भंडार पाडा, काजुपाडा वस्ती शाळे चे बाजूला, साजवाडी, गोधावळी",91.2,ok,
005-Paigaon.pdf,"पायगाव संपूर्ण, पायगांव संपुर्ण, पायगांव ते संक वाडे, पायगांव मंदिर पासून ते भोयाचपाडा, भोयाचा पाडा पासून से खडको पाडा, पायगांब प्रा शाळे जबळीक परिसर ते ग्‌, गवळी आळी से पायगांव डोंगरी, पायगांव डोंगरी ते बंगत्याचा पाडा, बंगल्याचा पाडा ते खर्डी गांबा पर्यन्तू, खार्डीगांब संपूर्ण परिसर gegeeeeeeeeeeer",89.2,ok,
006-Tembhivali.pdf,"टेंभबली गांब जि.प.शाळे मागे, टॅभबली Mears, टेभवली गाव जि प शाळेचे AM, पालीवळी alas पाडा, पालीवळी जि प शाळेचे मागे",81.9,ok,
007-Tembhivali.pdf,"टेंभबली गांब जि.प.शाळे मागे, पालीबळी जि प शाळेचे मागे, पालीबळी घाटाल पाडा, पालीबाळी रेबळोचा पाडा, पालीबळी गांब शाळेचा मागे, मनीचा पाडा पालीबळी, पालीवळी जि प शाळेचा मागे, बरण्याचा पाडा पालीबळो, पालीबळी गाव जि प शाळे मागे, मानिचा पाडा पालीबळी, पालीबळी गांब जि.प.शाळेचे मागे, घाटाळ पाडा पालीबळो, पालीवळी गांब जि शाळेचा मागे, मानीचा पाडा पालीवळी, रेवळीचा पाडा पारीवळी, पंचमुखी मारूती मंदिर शेजारी, पंचमुखी मारूती मंदिर रोजारी, गाणेगाव (पाटीलबाडा, फिरगपाडा पाटीलबाडा, फिरगपाडा गाब जि प शाळेचा मागे",87.6,ok,
008-JunaDurkhi.pdf,"जुनादुखी जि.प.शाळे समोर, मदार पाडा, इकळठणपाडा, मदारपाडा, कॉलनी जुनादुखी, भोइर वाडा, जुगाव जि शाळे समोर",86.1,ok,
009-JunaDurkhi.pdf,"जुनादुखी जि.प.शाळे समोर, जुगाव जि शाळे समोर, जुनादुखी निबंडा, निबांडा, राईपाडा, ठाकरेपाडा, तांबडमाळ, करंजपाडा, कालेंनी जि.प.शाळे समोर, सातवी पाडा जि.प.शाळे मागे",90.2,ok,
010-Katai.pdf,"काटई",83.2,ok,
