Filename,Content,Confidence,Status,Issues
001-Keshavrao_Khade_Road.pdf,"अ)साने गुरूजी मार्ग 307ए ते 327 (म.न.वि.36)खंड1! ब) क.खा.मार्ग म्यु.घ.नं.91 ते 105",82.8,ok,
002-Keshavrao_Khade_Road.pdf,"अ)गुरूजी मार्ग दादाजी धाकजी कं.प्रा.लि.जवळील झोपडपट्टी ते.म्यु.घ.नं.386 पत्रा चाळ व पत्रा चाळ जवळील झोपडपट्टी रामसिंह गैरेज ब) साने गुरूजी मार्ग म्यु.घ.नं.326 ते 342 ब म्यु.घ.नं.173 अलमास अपार्टमेंट ते 209 आकाश अपार्टमेंट",88.8,ok,
003-Farooq_S_Umar_Bhai_Path.pdf,"अ)मौलाना आझाद रोड Maret चाळ (मनिवि36) खंड 1 ब) मोलाना आझाद रोड म्यु.घ.नं.54 ई ते म्यु घ.नं.108",80.2,ok,
004-Farooq_S_Umar_Bhai_Path.pdf,"आर.बी.चांदोरकर मार्ग म्यु.घ.नं.क्रं.2 ते 26 ए",74.8,ok,
005-Farooq_S_Umar_Bhai_Path.pdf,"अ) मोस्ट्रीट म्युघ.नं.1-11 ब 4-8 ब) मो.स्ट्रोट क) मो.आ.रोड Male Huss जवळील झोपडपट्टी ब हिंदुस्तान मिलजवळील झोप.ड) फा.एस.उमरभाई पथ म्यु.घ.नं.15 ते 23",80.3,ok,
006-Farooq_S_Umar_Bhai_Path.pdf,"माधबराब गांगण मार्ग म्यु.घ.नं.3 ते 7",83.1,ok,
007-Farooq_S_Umar_Bhai_Path.pdf,"अ) माधवराव गांगण मार्ग म्यु.घ.नं.4 ते 6 ब) माधवराव गांगण मार्ग म्यु.घ.नं.16 ई ते 22",83.7,ok,
008-Farooq_S_Umar_Bhai_Path.pdf,"अ) मोहम्मद शहिद मार्ग (मोरलॅण्ड रोड) म्यु.घ.नं.11 ते 57 ब)मोहम्मद शहिद मार्ग (मोरलॅण्ड रोड) म्यु.घ.नं.2 ते 8",87.6,ok,
009-Farooq_S_Umar_Bhai_Path.pdf,"अ) फारुख एस उमरभाई पथ म्यु.घ.नं.3 बी.आय.टी.चाळ नं.8 ते 7 बी, बी.आय.टी.चाळ नं.12 ब) मोहम्मद शहोद मार्ग (मोरलॅण्ड रोड) LTA. 87 ते 89 एफ क) मोटली बाई स्ट्रोट म्यु.घ.नं.! ते 22 ड) मोहम्मद शहीद मार्ग (मोरलॅण्ड रोड) सेंट ऑन्ड्यूज चर्च जवळोल BRST गांधी झोपडपट्टी इ) मोहम्मद ele मार्ग (मोरलॅण्ड रोड) म्यु.घ.नं.65 ते 75 न्यू पत्रा शेड गं.1",88.0,ok,
010-Farooq_S_Umar_Bhai_Path.pdf,"अ) आर.बी.चांदोरकर मार्ग म्यु.घ.नं.1 ते 5 ब) मेघराज सेठी मार्ग आय टी चाळ नं.4 ते 30-32 भायखळा नर्सिंग होम",89.3,ok,
011-Farooq_S_Umar_Bhai_Path.pdf,"अ) डॉ.आनंदराव नायर मार्ग म्यु.घ.नं.9 ते 45 ब) फारूख एस.उमरभाई पथ म्यु.घ.नं.9 बी.ई.टी.चाळ नं.14",81.3,ok,
012-Farooq_S_Umar_Bhai_Path.pdf,"अ) क्रॉस स्ट्रीट म्यु.घ.नं.1 ते 9 ब)मेघराज सेठी मार्ग म्यु.घ.नं.3 सेट अंन्डयुज चर्च आणि जवळील झोपडपट्टी",80.0,ok,
013-Farooq_S_Umar_Bhai_Path.pdf,"अ) मोहम्मद शाहिद मार्ग (मोरलॅण्ड रोड म्यु.घ.नं.97 -सी ते 111 ब)सायरस अव्हेन्यु पथ",84.8,ok,
015-Farooq_S_Umar_Bhai_Path.pdf,"मोहम्मद शाहिद मार्ग (मोरलॅण्ड रोड ) म्यु.घ.नं.81 ते 85 बी",91.1,ok,
016-Madhavrao_Gangan_Road.pdf,"अ)माधबराव गांगण मार्ग म्यु.घ.नं.9 बी आय.टी.चाळ 4.24 ब)आर.बि.चांदोरकर मार्ग म्यु.घ.नं.11 ते 25",85.0,ok,
017-Mohammad_Shaheed_Marg_(Moreland_Road).pdf,"अ)माधबराव गांगण मार्ग म्यु.घ.नं.17 ते 23 ब)माधवराब गांगण मार्ग म्यु.घ.नं.8 ते 10",85.8,ok,
