filename,page,content,confidence
BoothVoterList_A4_Ward_212_Booth_1.pdf,2,"यादी भाग क्र. ६६  : १ -म्यु.घ.नं.३०७ अ, काशिनाथ बिल्डींग, संत गाडगेबाबा महाराज चौकाजवळ, साने" ,92
BoothVoterList_A4_Ward_212_Booth_1.pdf,4,"यादी भाग क्र. ६६  : २ -म्यु.घ.नं.३०७ ब, काशिनाथ बिल्डींग, संत गाडगेबाबा महाराज चौकाजवळ, साने" ,93
BoothVoterList_A4_Ward_212_Booth_1.pdf,6,"यादी भाग क्र. ६६  : ३ -म्यु.घ.नं.३०७ क, काशिनाथ बिल्डींग, संत गाडगेबाबा महाराज चौकाजवळ, साने" ,93
BoothVoterList_A4_Ward_212_Booth_1.pdf,7,"यादी भाग क्र. ६६  : ४ - म्यु.घ.नं. ३०७ डी, काशिनाथ बिल्डींग, संत गाडगेबाबा महाराज चौकाजवळ," ,91
BoothVoterList_A4_Ward_212_Booth_1.pdf,9,"यादी भाग क्र. ६६  : 24 -म्यु.घ.नं.९१, मॉर्डन मिल कंपाऊंड चाळ 4.2, केशवराव खाडये मार्ग," ,87
BoothVoterList_A4_Ward_212_Booth_1.pdf,12,"यादी भाग क्र. ६६  : ६ -म्यु.घ.नं.९१, मॉर्डन मिल कंपाऊंड चाळ 4.3, केशवराव खाडये मार्ग," ,88
BoothVoterList_A4_Ward_212_Booth_1.pdf,15,"यादी भाग क्र. ६६  : ७ -म्यु.घ.नं.९१, मॉर्डन मिल कंपाऊंड चाळ नं., ४ केशवराव खाडये मार्ग," ,93
BoothVoterList_A4_Ward_212_Booth_1.pdf,19,"यादी भाग क्र. ६६  : ८ -म्यु.घ.नं.९१, मॉर्डन मिल कंपाऊंड चाळ नं.५, केशवराव खाडये मार्ग," ,90
BoothVoterList_A4_Ward_212_Booth_1.pdf,21,"यादी भाग क्र. ६६  : ९ -म्यु.घ.नं.९१, मॉर्डन मिल कंपाऊंड चाळ नं.६, केशवराव खाडये मार्ग," ,90
BoothVoterList_A4_Ward_212_Booth_1.pdf,27,"यादी भाग क्र. ६६  : १० -म्यु.घ.नं.९१, मॉर्डन मिल कंपाऊंड चाळ नं.७, केशवराव खाडये मार्ग," ,88
