Filename,Content,Confidence,Status,Issues
001-Dr._Mascarenhans_Road_Mumbai-400010.pdf,"अ) डॉ.मस्कारेन्हान्स रोड,म्यु.घ.न.141 ते 195माझगांव हनिकोम्ब प्रिमायसेस ते पोरबंदरवाला इस्टेट 141 बी विभाग 1ते 13 ब)चापशी भिमजी रोड,म्यु.घ.न.1ते 45 म्यु.घ.न.31 न्यु बंगलो ते 24 डीसील्वा हाऊस विभाग 14ते 30 क)म्हातार पाखडी रोड,म्यु.घ.न.1ते 36 म्यु.घ.न.20 किपसेक बिल्डींग ते चापाशी भिमजी मार्ग विभाग 31 ते 42",90.1,ok,
002-Dr._Mascarenhans_Road.pdf,"अ) डॉ.मस्कारेन्हास रोड,म्युघनं 199 ते 233,हिला a बिल्डिंग ते चिराग बिल्डिंग,विभाग 1412. ब) WI पाखाडि रोड म्यु.घ.न.1ते15आय म्यु.घ .न.496 सेंट्रल रेल्वे न्यु चाळ ते सेंट्रल रेल्वे चाळ न.10 विभाग 13ते18. क) माथार पाखाडि रोड म्यु.घ.न.34ते बंदुकवाला चाळ कासम मिस्त्री चाळ ते कैफी बिल्डिंग सेंट जो सेफ sera fast 25ते47.",85.5,ok,
003-Dr._Mascarenhans_Road.pdf,"अ) माथार पाखाडी कोर्ट,म्यु.घ.न.3ते41 कॅनाना हाऊस ते लियांदर बिल्डिंग,विभाग 1ते3. ब) माथार पाखाडी कोर्ट म्यु.घ.न.2(ए) मुलचंद बि. (म.न.वि.उ.) ate बिल्डिंग पुनावाला बिल्डिंग विभाग 4ते36. क) सरदार बलवंतसिंग Ale मार्ग,(पुर्व) म्यु.घ.न. 1ते7 आय आणि 2ते12अ,भारती कॉटेज ते अमृता भेलपुरी हाऊस बागे समोर ते लमी रेस्टॉ रंट,विभाग 37 ते 43.",87.0,ok,
004-Dr._Mascarenhans_Road.pdf,"अ) गणपावडर रोड,म्यु.घ.न.2ते48 शितल अपा- टॅमेंट ए ते संकल्प निकेतन,विभाग 1ते7. ब) डॉकयार्ड रोड,म्यु.घ.न.38ते42 एक्सल हाऊस पान fats शॉप एस.एच.कंपाऊंड ते कॅनरा बँकेच्या बाजुची झोपडी,विभाग 9ते11. क) WA पाखाडी कोर्ट,म्यु.घ.न.75ते113,झरि- ना मंझील,विभाग 8.",85.7,ok,
005-Dr._Mascarenhans_Road.pdf,"अ) माथार पाखाडी क्रॉस लेन,म्यु.घ.न.2/2ए मिरां- डा हाऊस ते अमर सन्स इंडस्ट्री,विभाग 1ते18. ब) माथार पाखाडी क्रॉस लेन,म्यु.घ.न.115ते149 राठोड हाऊस ते पर्ल हार्बर बाजुची झोपडी, विभाग 19ते35.क) शिवदास चापसी मार्ग,म्यु.घ.न.5ते41 ब,तुळशिवाडी गोपाळ चाळ ते हार्बर क्रस्ट,विभाग 36ते39.ड) शिवदास चापसी मार्ग,म्यु.घ.न.43ए ते43ब,खुदाबक्ष बिल्डिंग ते सुंदरम बिल्डिंग,विभाग 40ते42.",90.0,ok,
006-Dr._Mascarenhans_Road.pdf,"अ) माथार पाखाडी रोड,म्यु.घ.न.15जे ते 63, माझगांव cae सेंट्रल रेल्वे चाळ न.18ते गार्डन हाऊस,विभाग 1ते7. ब) चापशो Past रोड,म्यु.घ.न.6ते18,डो चाळ श्यामजी मोरारजीचाळ अ ते श्यामजी मोरारजी चाळी जबळ पत्राशेड,विभाग $413. क ) माथार पाखडी रोड,म्यु.घ.न.(6ते32सी,तांबा वाला बिल्डिंग,विभाग 14.",80.0,ok,
007-Dr._Mascarenhans_Road_Mumbai-400010.pdf,"अ) माथार पाखडी रोड,म्यु.घ.न.25 महंमद खान चाळ ते म्यु.घ.न.63,आंबेवाडी लकडी दवाखाना दलाल कॉटेज ते आंबेवाडी बैठीचाळ, विभाग 1ते6. ब) गणपावडर क्रॉस लेन न.2,म्यु.घ.न.95 पटेल हाऊस ते आशियाना अपार्टमेंट,विभाग 7ते17.",90.2,ok,
008-Dr._Mascarenhans_Road_Mumbai-400010.pdf,"अ) गणपावडर रोड, म्यु.घ.नं.15के ते 15 आर, सेंट्रल रेल्वे चाळ न.1-497 ते सेंट्रल रेल्वे चाळ 1- 497,विभाग 1ते3. ब) गणपावडर रोड,म्यु.घ.न.11ते47,सुर्यकुंड (ए) विंग ते अशरफ अपार्टमेंट 'ए',विभाग 4ते15. क) गंगाबावडी रोड,",89.4,ok,
009-Barrister_Nath_Pai_Marg_Mumbai-400010.pdf,"अ) बॅरीस्टर नाथ पै मार्ग,(बर्मा शेल पेट्रोल पंप ते माथार पाखडी पुलाखालील झो.) एच.एस.टी बॅटरी 332ते रे रोड ब्रिजवरील झोपडपट्टी, विभाग 1ते15. ब) बॅरीस्टर नाथ पै मार्ग,म्यु.घ.न.237 ते 287, सागर दुग्धालय,विभाग 16. क) पॅटर्न बंदर (रे रोड बाजु बी.पी.टी.चाळ).",87.7,ok,
010-Barrister_Nath_Pai_Marg_Mumbai-400010.pdf,"अ) पॅटर्न बंदर,मिरादात्तार दंग्या जवळील झोपडप- cet ते मिरादात्तार झोपडपट्टी.विभाग 1ते4. ब) कसारा स्ट्रीट,मॅगझीन स्ट्रीट,3री लेन,युनिव्हर्सल स्क्रॅप ट्रेडांग (कृष्णा स्टील) ते सी लिकसं कंपनी, विभाग 3ते28. क) मॅगझीन स्ट्रीट,4 थी लेग,जी के राम आणि सन्स ते मे इंजिनियर स्टील इंडस्ट्रिज, विभाग 29ते41.",85.9,ok,
