Filename,Content,Confidence,Status,Issues
001-24-26_Khetwadi_12th_galli.pdf,"अ.) खेतवाडी 13a गल्ली मु.घ.नं.15 ते भाभाचाळ खंड 1, 2.ब.)मौ.शौकत अली रोड 293-359: खंड 1,3 क)खेतवाडी 12at गल्ली,रामनिवास ते माहिमबाला बिल्डींग (मनिवि 19) खंड 1,4 ड) खेतवाडी 11वी गल्ली,1ते31 (मनिवि19) खंड -1",85.6,ok,
002-24-26_Khetwadi_12th_Street.pdf,"अ)खेमराज श्रीकृष्णदास मार्ग, 155ते205(मनिवि-19)खंड-1, 2 ब)खेतवाडी 10वी गल्ली म्यु.घ.नं.8 ते 58,(मनिवि-20) खंड-1, 3.क)राजा राममोहन रॉय मार्ग,13ते45 (मनिवि-20) खंड-1, 4 ड)खेमराज श्रीकृष्णदास मार्ग,154ते1 84 (मनिवि-20) खंड-2",85.3,ok,
003-24-26_Khetwadi_12th_Street.pdf,"अ)खेमराज श्रीकृष्णदास मार्गम्यु.घ.नं. 188ते204(मनिवि20)खंड3, 2ब)खेतबाडी 10वी गल्ली,क्रांसलेन म्यु. घ.नं.,4ते16,(मनिवि20)खंड1 ,3.क)खेतवाडी 10बी गल्ली,70ते76 ए (Aa 19) खंड 2, 4.ड)खेतबाडी 12बी गल्ली,म्यु.घ.नं.1ते23,(मनिवि20)खंड2,",69.8,ok,
004-24-26_Khetwadi_12th_Street.pdf,"अ)अच्युत बळवंत कोल्हटकर मार्ग,खेतबाडी,म्यु.घ.नं.194ते234 (मनिवि-19) खंड-1, 2ब)खेतबाडी 14वी गल्ली,3 ते 13,(मनिवि 19) Gel",74.2,ok,
005-Balaram_Street.pdf,"अ) मोलाना शौकत अली रोड,म्यु.घ.नं.302ते318 (मनिवि-20) खंड 2, 2.ब) पठ्ठे बापुराव मार्गीम्यु.घ.नं.114 ते 154 (मनिवि-20) खंड 2, 3 क)पठ्ठे बापुराव मार्ग,म्यु.घ.नं.66ते68,महाराजा बिल्डींग 74-80बी कल्याण बिल्डींग (ata 20 yas 1",82.5,ok,
006-Balaram_Street.pdf,"अ)पठ्ठे बापुराव मार्ग,74-80क,(मनिवि-20),खंड-3, 2ब)पठ्ठे बापुराव मार्ग,म्यु.घ.नं. 98ए-98सी (मनिवि-20)खंड 4, 3 क.) पठ्ठे बापुराव मार्ग40ए ते 52ई (मनिवि20) खंड-5",86.1,ok,
007-Balaram_Street.pdf,"अ)डॉ.एरुच शहा हकिम रोड,6 व 8 (मनिवि20) Gel, 2ब)बाळाराम स्ट्रीट,5 ते 33ए (म.नि.बि.20) खंड 1, 3 क)मोलाना शोकतअली रोड,352,(मनिवि20) खंड 3, 4 ड)मोलाना शोकतअली रोड,342डी,(मनिवि20) खंड 4",83.8,ok,
008-Balaram_Street.pdf,"अ)मौोलाना शौकतअली रोड,म्यु.घ.नं.322 लक्ष्मी बिल्डींग ते342 सी, भारत नगर (मनिवि20) खंड 5",83.5,ok,
009-Keshavrao_Kadam_Road.pdf,"अ)जहांगोर बोमन बेहराम मार्ग,म्यु.घ.नं275 ते 293ई (मनिवि28)खंड 1,2 ब)जहांगीर बोमन बेहराम मार्ग म्यु.घ.नं.263-279 बी (मनिवि -28)खंड-2, 3क) आर.एस.निमकर मार्ग 62-66(मनिवि -28)खंड-3",82.2,ok,
010-R.S.Nimkar_Marg.pdf,"अ) केशवराब कदम मार्ग (बेलासिस चाळ रोड नं.1)1ते13 (मनिवि28)खंड-1, 2 ब) केशवराव कदम मार्ग (बेलासिस चाळ रोड नं.3)21ते23 (मनिवि28)खंड-2,3 क )आर.एस.निमकर मार्ग म्यु.घ.नं.73ए ते 80 आय (मनिवि-28)खंड-2, 4 ड)केशवबराव कदम मार्ग,(बेलासिस चाळ रोड नं.2), 5ते9(मनिवि28)खंड 6",89.0,ok,
011-R.S.Nimkar_Marg.pdf,"अ) केशवराब कदम मार्ग (रोड नं.3)15ते19 (मनिवि28)खंड-3",79.6,ok,
012-R.S.Nimkar_Marg.pdf,"अ) केशवराव कदम मार्ग (बेलासिस चाळ रोड नं.3)25,(मनिवि28)खंड 4, 2 ब)आरएस निमकर मार्ग,68बी ते 68एफ(मनिवि28)खंड 1",80.7,ok,
013-R.S.Nimkar_Marg.pdf,"अ)केशबराब कदम मार्ग (बेलासिस चाळ रोड नं.1 35 ते 11 (मनिवि -28) खंड-5,",82.4,ok,
