filename,page,content,confidence
001-Gamadia_Road.pdf,1,"अ) गमाडिया रोड ब) पी.डिमेलो रोड-म्यु.घ.नं.149 ते 169क) मेन्शन रोड- झोपडपटटी",90
002-SUBUSIDWICK_ROAD.pdf,1,"अ) मुसाफिरखाना रोड-म्यु.घ.नं.1 ते 11. ब) लोकमान्य टिळक मार्ग - स्वस्तिक चेम्बर्स ते मुसाफिरखाना स्वीपर्स कवार्टस.",89
003-M_R_A_Marg.pdf,1,"अ) मुसाफिरखाना रोड - म्यु.घ.नं.4 ते 12, ब) साबुसिध्दीक रोड-दिलखुश मंझील ते मुनीम कंपा ऊड झोपडपटटी, क) मुसाफौरखाना रोड- अलका दरीचाळ झो.ते.दिलखुश मंझील शेजारील झोपड पटटी, ड) साबुसिधीकरोड बी.एम.सी.चाळ नं.5ते यादगार जनता टी शॉप.",91
004-M_R_A_Marg.pdf,1,"अ)साबुसिध्दिक रोड- बी.एम.सी.चाळ नं.1आणि 2, ब) साबुसिध्दक रोड- बी.एम.सी.चाळ नं.3 व झोपडपटटी, क) माता रमाबाई आंबेडकर मार्ग-म्यु निसिपल ब्लॉक *ए' व 'बी' जवळील झोपडपटटी अणि प्रियदर्शनी बिल्डिंग.",87
005-M_R_A_Marg.pdf,1,"अ) साबुसिध्दिक मार्ग - बी.एम.सी.चाळ नं.4 व जवळील झोपडपटटी, ब) लोकमान्य टिळक मार्ग- अनिस चेम्बर्स ते नफिस चेम्बर्स, क) डॉ.दादाभाई नौरोजी मार्ग- महात्मा ज्योतिबा फुले मार्केट, ड) माता रमाबाई आंबेडकर मार्ग- डेव्हलपमेंट बॅक बिल्डिंग ते छत्रपती शिवाजी महाराज मार्केट.",91
006-M_R_A_Marg.pdf,1,"अ)डॉ. दादाभाई नौरोजी रोड-म्यु.घ.नं.35 ते 39अणि बोरीबंदर लायसन्स पोर्टर्स, ब) माता रमाबाई आंबेडकर मार्ग-म्यु.घ.नं.30 ते 58, क) माता रमाबाई अंबेडकर मार्ग-बी.एम.सी.ब्लॉक 'ए' व जवळील झोपडपटटी.",92
007-M_R_A_Marg.pdf,1,"अ) मार्केट रोड- म्यु.घ.नं.35 ते 37. ब) माता रमाबाई आंबेडकर मार्ग- बी.एम.सी. ब्लॉक *बी'",87
008-M_R_A_Marg.pdf,1,"माता रमाबाई आंबेडकर मार्ग- पलटन रोड पोलिस कवार्टस ते हिमालया हाऊस.",88
009-P_D_Mello_Road.pdf,1,"अ) पी.डिमेलो रोड- कर्नाक बंदर झोपडपटटी . ब) पी.डिमेलो रोड- म्यु.घ.नं.199 ते 237. क) पी.डिमेलो रोड- म्यु.घ.नं.180 ते 184. ड) वालचंद हिराचंद मार्ग- म्यु.घ.नं.24 ते 40. इ) पी.डिमेलो रोड- पश्‍चिम रेल्वे चाळ नं.117 ते 119.",91
010-P_D_Mello_Road.pdf,1,"सेंट जॉर्ज रोड- सेंट जॉर्ज हॉस्पिटल स्टाफ कबार्टस ते सेंट जॉर्ज कि ल्ला.",90
011-Shivdas_Chapshi_Marg.pdf,1,"अ) मावजी राठोड रोड- म्युनिसिपल ब्लॉक अ ते ड.",90
012-Shivdas_Chapshi_Marg.pdf,1,"अ) जिनाभाई मुलजी राठोड रोड (दक्षिण)- सेंट्रल रेल्वे कवार्टस ते बी.पी.टी.समोरील झोपडपटटी ब) मावजी राठोड रोड- दर्गा ते आझमी स्टोअर्स क) शिवदास चापसी रोड- म्यु.घ.नं.157 ते 163.",92
013-Shivdas_Chapshi_Marg.pdf,1,"डॉ. मैशरी रोड- म्यु.घ.नं.4 ते 19.",89
014-Navroji_Hill_Row._No._7.pdf,1,"अ) मावजी राठोड रोड-म्युनिसिपल ब्लॉक 3 ते 4. ब) डॉ.मैशेरी रोड- म्यु.घ.नं.2 ते 9.",87
015-Navroji_Hill_Row._No._7.pdf,1,"अ) डॉ. मैशरी रोड- म्यु.घ.नं. 23 ते 41. ब) नवरोजी हिल रोड नं.11-बी.आय.टी.चाळ नं.1.",89
016-Navroji_Hill_Row._No._5.pdf,1,"अ)नवरोजी हिल रोड नं. 7 (उत्तर)- म्यु.घ.नं. 1ते 23. ब) नवरोजी हिल रोड नं.11अ- म्यु.घ.नं.42 क) नवरोजी हिल रोड नं.11क- म्यु.घ.नं.1 ड) नवरोजी हिल रोड नं.11 ड-2- पोतदार बिल्डिंग व बाजु ची झोपडपटटी.",92
017-Navroji_Hill_Row._No._5.pdf,1,"अ)नवरोजी हिल रोड नं.9 ब) नवरोजी हिल रोड नं.11- स्मिथ हाऊस क) नवरोजी हिल रोड नं.11-ड-1.",90
018-Navroji_Hill_Row._No._5.pdf,1,"अ)नवरोजी हिल रोड नं.11- बी.आय.टी. चाळ नं.3 ते 6.",90
019-Navroji_Hill_Row._No._5.pdf,1,"अ) डॉ.मैशेरी मार्ग- म्यु.घ.नं.43 ते 87 ब) नवरोजी हिल रोड नं.11- बी.आय.टी.चाळ नं.7 क) नवरोजी हिल रोड नं.11- बी.",91
020-99-101_K._no_Ro.pdf,1,"अपपुना स्ट्रीट, ब) रायचुर स्ट्रीट, क) सरदार वल्लभभाई पेटेल रोड-म्यु.घ.नं.7 ड) सोलापुर स्ट्रीट.",88
021-99-101_K._no_Ro.pdf,1,"अ) सरदार वल्लभभाई पटेल रोड- वाडी बंदर गुडस यार्ड, ब) पी डिमेलो रोड- 1 ते 18. क) पी डिमेलो रोड- वाडी बंदर डेपो फुटपाथवरील झोपडपटटी.",92
